公司名称,地址,电话
互联网大厦,河南省新乡市红旗区新中大道(中)
平安普惠投资咨询有限公司新乡新飞大道分公司,新乡市红旗区新中大道(中)附近
新乡市深鹏装饰工程有限公司,金穗大道嘉亿东方明珠32楼
新乡市惠民天下畜牧设备有限公司,新乡市红旗区嘉亿国际新闻大厦25层
互联网大厦停车场-出入口,河南省新乡市红旗区嘉亿街
互联网大厦停车场-出口,河南省新乡市红旗区金穗大道东
互联网大厦-西门,金穗大道(东)北100米
互联网大厦停车场-入口,河南省新乡市红旗区新中大道(中)辅路
新乡市福运到家互联网科技股份有限公司,平原路蓝钻国际
拉扎斯网络科技(上海)有限公司新乡分公司,洪门镇金穗大道与新中大道路口嘉亿东方明珠30层
汇益互联网服务有限公司,河南省新乡市红旗区金穗大道东辅路
广州金不换财务咨询有限公司新乡分公司,河南省新乡市红旗区嘉亿新闻大厦1905室
恒大人寿(新乡中心支公司),河南省新乡市红旗区金穗大道新闻大厦22楼
新乡市园林绿化工程有限公司,新乡市金穗大道与新中大道交叉口嘉亿新闻大厦27层
互联网大厦-南2门,金穗大道(东)北50米
河南恒东商贸有限公司,河南省新乡市红旗区金穗大道新闻大厦2611、2612室
中国建设银行24小时自助银行(金穂大道支行),新乡市红旗区金穗大道与新中大道交叉口西北角互联网大厦1层附近
北京高幂数据科技有限公司河南分公司,新乡市红旗区嘉亿新闻大厦2601
河南金友互联网技术有限公司,淘宝城7楼
康宝莱公司,洪门镇新中大道与金穗大道交叉口嘉亿东方明珠16楼
河南纳澜电器有限公司,河南省新乡市红旗区嘉亿国际新闻大厦河南纳澜电器有限公司
车邦(深圳)互联网金融服务有限公司,河南省新乡市红旗区牧野大道南段电子信息科技园
积木家互联网装修(新乡体验中心),新二街与金穗大道(东)交叉口东北100米靖业摩尔151附近
河南御乐坊酒店有限公司,河南省新乡市红旗区新中大道海利川蜀香火锅东北100米
EOTO视觉摄影工作室,新乡市红旗区金穗大道东互联网大厦2810
中煤润邦机械装备股份有限公司,新乡市新中大道与金穗大道西北角嘉亿东方明珠13层1303房
河南省帕菲特搬运设备有限公司,河南省新乡市金穗大道与新中大道交叉口西北角嘉亿东方明珠701室
幸福之家互联网家装资源平台,河南省新乡市红旗区向阳路296号
爱美得美发工作室,金穗大道与新中大道西北角互联网大厦商业裙房104室
嘉亿东方明珠中国民生银行,河南省新乡市红旗区互联网大厦嘉亿东方明珠中国民生银行
恒富电子,河南省新乡市红旗区新中大道与新飞大道交叉口嘉亿新闻大厦恒富电子
黄金时代游泳健身俱乐部,推测位置
八马茶业(互联网大厦北),金穗大道东互联网大厦负一楼
塞纳春天互联网家装(黄岗分店),河南省新乡市红旗区嘉亿·明珠商业街130
四季康道养生会馆,河南省新乡市牧野区西华大道佳煌不锈钢西南侧10米
雅藏文化,新乡市红旗区洪门镇互联网大厦17楼1705室
丰泽堂老银铺,推测位置
独角兽花店,河南省新乡市红旗区互联网大厦裙房红咖啡一楼
3Q便利店(嘉亿店),新中大道嘉亿互联网大厦北红咖啡一楼
街电(青禾馅饼嘉亿店),新中大道与金穗大道交叉口嘉亿互联网大厦1308室
森怡康新乡运营中心,推测位置
东方明珠-停车场,新乡市红旗区金穗大道和新中大道交叉口西北角互联网大厦商业街134号
丁丁贷,河南省新乡市新中大道与金穗大道交叉口互联网大厦15楼
善林金融,新乡市红旗区金穗大道与新中大道交叉口西北角互联网大厦1层附近
东方明珠停车场-出口,金穗大道与新中大道交叉口西北角互联网大厦1层附近
嘉亿·东方明珠-地下停车场,金穗大道与新中大道交叉口西北角互联网大厦1层
