债券简称,代码,上市时间
盛路转债,002446,2018-08-14T00:00:00
海澜转债,600398,2018-07-31T00:00:00
安井转债,603345,2018-07-31T00:00:00
景旺转债,603228,2018-07-24T00:00:00
博世转债,300422,2018-08-14T00:00:00
湖广转债,000665,2018-08-01T00:00:00
广电转债,600831,2018-07-24T00:00:00
千禾转债,603027,2018-07-10T00:00:00
再升转债,603601,2018-07-13T00:00:00
华通转债,002758,2018-07-13T00:00:00
三力转债,002224,2018-06-29T00:00:00
新泉转债,603179,2018-06-22T00:00:00
新凤转债,603225,2018-05-16T00:00:00
天马转债,603668,2018-05-07T00:00:00
鼎信转债,603421,2018-05-14T00:00:00
利欧转债,002131,2018-04-19T00:00:00
岩土转债,002542,2018-04-25T00:00:00
敖东转债,000623,2018-05-11T00:00:00
长证转债,000783,2018-04-11T00:00:00
金农转债,002548,2018-04-02T00:00:00
星源转债,300568,2018-04-10T00:00:00
杭电转债,603618,2018-03-27T00:00:00
艾华转债,603989,2018-03-23T00:00:00
玲珑转债,601966,2018-03-22T00:00:00
大族转债,002008,2018-03-05T00:00:00
康泰转债,300601,2018-03-19T00:00:00
无锡转债,600908,2018-03-14T00:00:00
江银转债,002807,2018-02-14T00:00:00
常熟转债,601128,2018-02-06T00:00:00
道氏转债,300409,2018-01-26T00:00:00
吉视转债,601929,2018-01-15T00:00:00
迪龙转债,002658,2018-01-29T00:00:00
航电转债,600372,2018-01-15T00:00:00
双环转债,002472,2018-01-25T00:00:00
天康转债,002100,2018-01-29T00:00:00
蒙电转债,600863,2018-01-09T00:00:00
太阳转债,002078,2018-01-16T00:00:00
赣锋转债,002460,2018-01-19T00:00:00
东财转债,300059,2018-01-29T00:00:00
万信转债,300168,2018-01-30T00:00:00
铁汉转债,300197,2018-01-26T00:00:00
崇达转债,002815,2018-01-22T00:00:00
泰晶转债,603738,2018-01-02T00:00:00
众兴转债,002772,2018-01-03T00:00:00
蓝思转债,300433,2018-01-17T00:00:00
特一转债,002728,2017-12-28T00:00:00
宁行转债,002142,2018-01-12T00:00:00
亚太转债,002284,2017-12-26T00:00:00
众信转债,002707,2017-12-28T00:00:00
兄弟转债,002562,2017-12-27T00:00:00
国祯转债,300388,2017-12-25T00:00:00
生益转债,600183,2017-12-11T00:00:00
水晶转债,002273,2017-12-12T00:00:00
宝信转债,600845,2017-12-05T00:00:00
济川转债,600566,2017-11-29T00:00:00
嘉澳转债,603822,2017-11-27T00:00:00
久立转2,002318,2017-12-01T00:00:00
小康转债,601127,2017-11-21T00:00:00
时达转债,002527,2017-12-04T00:00:00
隆基转债,601012,2017-11-20T00:00:00
金禾转债,002597,2017-11-27T00:00:00
林洋转债,601222,2017-11-13T00:00:00
雨虹转债,002271,2017-10-20T00:00:00
国君转债,601211,2017-07-24T00:00:00
久其转债,002279,2017-06-27T00:00:00
模塑转债,000700,2017-06-26T00:00:00
永东转债,002753,2017-05-12T00:00:00
骆驼转债,601311,2017-04-13T00:00:00
光大转债,601818,2017-04-05T00:00:00
洪涛转债,002325,2016-08-23T00:00:00
海印转债,000861,2016-07-01T00:00:00
辉丰转债,002496,2016-05-17T00:00:00
江南转债,601199,2016-04-05T00:00:00
汽模转债,002510,2016-03-24T00:00:00
白云转债,600004,2016-03-15T00:00:00
顺昌转债,002245,2016-02-23T00:00:00
广汽转债,601238,2016-02-04T00:00:00
九州转债,600998,2016-01-29T00:00:00
国贸转债,600755,2016-01-19T00:00:00
三一转债,600031,2016-01-18T00:00:00
蓝标转债,300058,2016-01-08T00:00:00
航信转债,600271,2015-06-30T00:00:00
电气转债,601727,2015-02-16T00:00:00
格力转债,600185,2015-01-13T00:00:00
歌尔转债,002241,2014-12-26T00:00:00
洛钼转债,603993,2014-12-16T00:00:00
浙能转债,600023,2014-10-28T00:00:00
齐峰转债,002521,2014-10-10T00:00:00
吉视转债,601929,2014-09-25T00:00:00
通鼎转债,002491,2014-09-05T00:00:00
冠城转债,600067,2014-08-01T00:00:00
东方转债,600875,2014-07-25T00:00:00
长青转债,002391,2014-07-09T00:00:00
国金转债,600109,2014-06-03T00:00:00
齐翔转债,002408,2014-05-13T00:00:00
久立转债,002318,2014-03-14T00:00:00
深燃转债,601139,2013-12-27T00:00:00
平安转债,601318,2013-12-09T00:00:00
徐工转债,000425,2013-11-15T00:00:00
隧道转债,600820,2013-09-30T00:00:00
华天转债,002185,2013-08-28T00:00:00
东华转债,002065,2013-08-19T00:00:00
民生转债,600016,2013-03-29T00:00:00
泰尔转债,002347,2013-01-28T00:00:00
海直转债,000099,2013-01-07T00:00:00
同仁转债,600085,2012-12-18T00:00:00
南山转债,600219,2012-10-31T00:00:00
重工转债,601989,2012-06-18T00:00:00
恒丰转债,600356,2012-04-12T00:00:00
国电转债,600795,2011-09-02T00:00:00
中海转债,600026,2011-08-12T00:00:00
巨轮转2,002031,2011-08-04T00:00:00
深机转债,000089,2011-08-10T00:00:00
川投转债,600674,2011-03-31T00:00:00
石化转债,600028,2011-03-07T00:00:00
中鼎转债,000887,2011-03-01T00:00:00
国投转债,600886,2011-02-15T00:00:00
海运转债,600798,2011-01-20T00:00:00
歌华转债,600037,2010-12-10T00:00:00
燕京转债,000729,2010-11-03T00:00:00
工行转债,601398,2010-09-10T00:00:00
塔牌转债,002233,2010-09-16T00:00:00
铜陵转债,000630,2010-08-06T00:00:00
中行转债,601988,2010-06-18T00:00:00
美丰转债,000731,2010-06-25T00:00:00
双良转债,600481,2010-05-14T00:00:00
王府转债,600859,2009-10-30T00:00:00
博汇转债,600966,2009-10-16T00:00:00
安泰转债,000969,2009-10-12T00:00:00
龙盛转债,600352,2009-09-25T00:00:00
西洋转债,600558,2009-09-21T00:00:00
厦工转债,600815,2009-09-11T00:00:00
09长虹债,600839,2009-08-19T00:00:00
08江铜债,600362,2008-10-10T00:00:00
新钢转债,600782,2008-09-05T00:00:00
08葛洲债,600068,2008-07-11T00:00:00
08宝钢债,600019,2008-07-04T00:00:00
08康美债,600518,2008-05-26T00:00:00
08国电债,600795,2008-05-22T00:00:00
南山转债,600219,2008-05-13T00:00:00
柳工转债,000528,2008-05-06T00:00:00
08青啤债,600600,2008-04-18T00:00:00
五洲转债,600368,2008-03-14T00:00:00
08上港债,600018,2008-03-07T00:00:00
08石化债,600028,2008-03-04T00:00:00
中兴债1,000063,2008-02-22T00:00:00
08赣粤债,600269,2008-02-28T00:00:00
08中远债,600428,2008-02-26T00:00:00
海马转债,000572,2008-01-30T00:00:00
08上汽债,600104,2008-01-08T00:00:00
大荒转债,600598,2007-12-28T00:00:00
唐钢转债,000709,2007-12-28T00:00:00
07日照债,600017,2007-12-12T00:00:00
赤化转债,600227,2007-10-23T00:00:00
07深高债,600548,2007-10-30T00:00:00
恒源转债,600971,2007-10-12T00:00:00
山鹰转债,600567,2007-09-17T00:00:00
中海转债,600026,2007-07-12T00:00:00
